Accident_Index,Accident_Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Longitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,Special_Conditions_at_Site,Age_Band_of_Driver
20230101RWA001,2023-01-05,Thursday,Give way or auto,Crossroads,Slight,-1.9441,30.0619,Daylight: Street lights present,Nyarugenge,None,1,2,Rwanda National Police,Dry,Single carriageway,50,08:30,Urban,Fine no high winds,Car,None,26 - 35
20230101RWA002,2023-01-05,Thursday,Give way or auto,T or staggered junction,Serious,-1.9501,30.0588,Daylight: Street lights present,Gasabo,None,3,2,Rwanda National Police,Wet or damp,Single carriageway,60,18:45,Urban,Raining no high winds,Bus,None,36 - 45
20230101RWA003,2023-01-06,Friday,Auto traffic signal,Crossroads,Fatal,-1.9700,30.1000,Darkness: Street lights present and lit,Kicukiro,None,2,1,Rwanda National Police,Wet or damp,Dual carriageway,80,23:15,Urban,Raining + high winds,Motorcycle,None,18 - 25
20230101RWA004,2023-01-07,Saturday,Authorized person,Roundabout,Slight,-1.5000,29.6333,Daylight: Street lights present,Musanze,None,1,2,Rwanda National Police,Dry,Single carriageway,40,14:20,Rural,Fine no high winds,Taxi,None,26 - 35
20230101RWA005,2023-01-08,Sunday,Give way or auto,T or staggered junction,Fetal,-2.6000,29.7500,Darkness: No lighting,Huye,Other,4,3,Rwanda National Police,Snow/Ice,Single carriageway,0,02:10,Rural,Fog or mist,Heavy Goods Vehicle,None,46 - 55
20230101RWA006,2023-01-09,Monday,Give way or auto,Slip road,Serious,0.0000,0.0000,Darkness: Street lights present and lit,Rubavu,None,2,2,Rwanda National Police,Dry,Dual carriageway,70,20:05,Urban,Fine no high winds,Car,None,26 - 35
20230101RWA007,2023-01-10,Tuesday,Give way or auto,Crossroads,Slight,-2.0833,29.7500,Daylight: Street lights present,Muhanga,,1,1,Rwanda National Police,Wet or damp,Single carriageway,50,11:30,Rural,Raining no high winds,Car,None,36 - 45
20230101RWA008,2023-01-11,Wednesday,Auto traffic signal,Roundabout,Slight,-1.9441,30.0619,Daylight: Street lights present,Nyarugenge,None,1,2,Rwanda National Police,Dry,Single carriageway,30,09:15,Urban,Fine no high winds,Bicycle,None,18 - 25
20230101RWA009,2023-01-12,Thursday,Give way or auto,Crossroads,Serious,-1.9700,30.1000,Darkness: Street lights present and lit,Kicukiro,None,2,2,Rwanda National Police,Wet or damp,Single carriageway,60,22:40,Urban,Raining no high winds,Taxi,None,26 - 35
20230101RWA010,2023-01-13,Friday,Give way or auto,T or staggered junction,Fatal,-1.6833,30.5500,Darkness: No lighting,Rwamagana,Pedestrian in carriageway,5,2,Rwanda National Police,Wet or damp,Single carriageway,80,01:50,Rural,Raining + high winds,Heavy Goods Vehicle,None,36 - 45
20230101RWA001,2023-01-05,Thursday,Give way or auto,Crossroads,Slight,-1.9441,30.0619,Daylight: Street lights present,Nyarugenge,None,1,2,Rwanda National Police,Dry,Single carriageway,50,08:30,Urban,Fine no high winds,Car,None,26 - 35
20230101RWA012,2023-01-14,Saturday,Give way or auto,Crossroads,Serious,-1.9501,30.0588,Darkness: Street lights present and lit,Gasabo,None,2,3,Rwanda National Police,Dry,Dual carriageway,60,19:10,Urban,Fine no high winds,Car,None,26 - 35
